tconst	averageRating	numVotes
tt1637688	6.7	436816
tt15398776	8.4	574562
tt0046593	8.4	2227
tt0086734	6.9	5504
tt0088655	6.7	986
tt0094456	5.9	52
tt0094525	8.6	50662
tt0095670	5.7	61
tt0096538	6.1	381
tt0096658	6.3	609
tt0098761	5.6	35
tt0098765	8.7	6077
tt0098792	6.3	52
tt0098798	7.1	8048
tt0098884	7.5	55
tt0098889	6.6	136
tt0098916	4.2	61
tt0099231	6.2	81
tt0099283	5.8	15
tt0101152	7.1	150
tt0101161	7.4	229
tt0106078	6.0	49
tt0133302	8.6	2237
tt0135104	7.9	374
tt0139780	7.0	187
tt0158415	7.0	420
tt0159876	7.9	870
tt0166458	6.8	652
tt0167566	4.0	22
tt0167644	8.0	745
tt0176357	7.3	403
tt0190210	7.2	338
tt0199184	7.7	303
tt0297625	6.6	135
tt0297626	6.3	233
tt0298685	6.6	86
tt0313144	4.9	10
tt0346328	6.2	648
tt0364151	8.2	1136
tt0401056	7.0	20
tt0806901	6.4	556
tt0806910	7.0	2989
tt0809273	7.9	14
tt0815353	8.1	147
tt0846838	8.7	87
tt0882736	5.6	26
tt0889258	6.8	14
tt0939820	7.6	24
tt0985040	6.9	339
tt1049304	6.6	88
tt1226281	7.5	40
tt12606372	6.2	111
tt13031912	7.4	446
tt1342141	5.3	11
tt15175450	7.2	5
tt1601983	5.8	53
tt1615489	7.3	17
tt1634348	5.9	8
tt3687174	7.9	22
