tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	img_url_asset
tt0000929	short	Klebolin klebt alles	Klebolin klebt alles	0	1990	\N	\N	Comedy,Short	\N
tt0000977	short	Mutterliebe	Mutterliebe	0	1990	\N	\N	Short	\N
tt0034841	short	Hen Hop	Hen Hop	0	1994	\N	4	Animation,Short	https://image.tmdb.org/t/p/{width_variable}/88EH2TVg6fGK7SnGXcfQ05MD2Rk.jpg
tt0040844	short	Crossroads of Laredo	Crossroads of Laredo	0	1995	\N	30	Short,Western	https://image.tmdb.org/t/p/{width_variable}/atrGjxMSp6y4jvs7nojUrlsGFUb.jpg
tt0078006	short	Norman and the Killer	Norman and the Killer	0	1991	\N	30	Horror,Short	\N
tt0082473	short	The Great Barrier Reef	Great Barrier Reef	0	1999	\N	39	Documentary,Short	https://image.tmdb.org/t/p/{width_variable}/woteaQKihwadpEr7XXxyt6aAd0v.jpg
tt0082891	short	Peep Show	Peep Show	0	1992	\N	7	Drama,Short	https://image.tmdb.org/t/p/{width_variable}/c4AFJyVdaJ4Rglg5d4qKibY8CEM.jpg
tt0084447	short	Open House	Open House	0	1992	\N	25	Drama,Short	\N
tt0084638	short	Scenes from the Life of Andy Warhol: Friendships and Intersections	Scenes from the Life of Andy Warhol: Friendships and Intersections	0	1990	\N	36	Documentary,Short	https://image.tmdb.org/t/p/{width_variable}/avHpCWc17IYJZqifb7bSQI2OqC9.jpg
tt0087306	short	Les funérailles du Larle Naba	Les funérailles du Larle Naba	0	1992	\N	30	Short	\N
tt0090144	short	Le temps des bouffons	Le temps des bouffons	0	1993	\N	15	Documentary,Short	https://image.tmdb.org/t/p/{width_variable}/7PVsQkiQsMf5j4pviQgEKJh4BPo.jpg
tt0091490	short	Martina's Playhouse	Martina's Playhouse	0	1993	\N	20	Drama,Short	\N
tt0093099	short	Going Equipped	Going Equipped	0	1990	\N	5	Animation,Crime,Documentary	https://image.tmdb.org/t/p/{width_variable}/6X0yrVj6YpATap4ybpEcimywbPG.jpg
tt0093211	short	Horrorshow	Horrorshow	0	1990	\N	5	Horror,Short	\N
tt0093646	short	Nonstop	Nonstop	0	1990	\N	20	Drama,Short	https://image.tmdb.org/t/p/{width_variable}/iFIazBvTyM9e2U79RTKmoG3qrzp.jpg
tt0094390	short	Zwisch!	Zwisch!	0	1991	\N	1	Short	https://image.tmdb.org/t/p/{width_variable}/mEzDaxLYnPfl7Vp1iRVgAoFBAZu.jpg
tt0095147	short	Feet of Song	Feet of Song	0	1992	\N	6	Animation,Musical,Short	https://image.tmdb.org/t/p/{width_variable}/uvZkYcmdV68z0yjMGkQ2TLITzs6.jpg
tt0095229	short	God morgon Gerda Gök	God morgon Gerda Gök	0	1993	\N	7	Animation,Family,Short	https://image.tmdb.org/t/p/{width_variable}/bKa44cUbDrMGXqTrV6ZVbKIEDNA.jpg
tt0095571	short	The Making of Monsters	The Making of Monsters	0	1991	\N	35	Short	https://image.tmdb.org/t/p/{width_variable}/zgenzvJ09QuRaduURuBuQzmM4jy.jpg
tt0096035	short	Sapphire Man	Sapphire Man	0	1990	\N	25	Crime,Drama,Short	\N
tt0096107	short	Seven Days a Week - CITY LIFE - Warsaw	Seven Days a Week - CITY LIFE - Warsaw	0	1990	\N	18	Documentary,Drama,Short	\N
tt0096254	short	That Burning Question	That Burning Question	0	1990	\N	30	Short	\N
tt0096345	short	Unter Freunden	Unter Freunden	0	1990	\N	15	Short	\N
tt0096975	short	Bravo Papa 2040	Bravo Papa 2040	0	1992	\N	6	Short	\N
tt0097057	short	The Child Eater	The Child Eater	0	1990	\N	15	Short	https://image.tmdb.org/t/p/{width_variable}/n75gNLjoIWmsW2WIiWqkRZTJMAs.jpg
tt0097310	short	Ex libris	Ex libris	0	1990	\N	12	Short	\N
