tconst	directors	writers
tt0000929	nm0093361	\N
tt0000977	\N	\N
tt0015414	nm0615736	\N
tt0015724	nm0529960	nm0529960,nm1597742
tt0034841	nm0572235	\N
tt0038086	nm0826094	nm0076617,nm0826094
tt0040844	nm0000248	nm0298215,nm0000248
tt0059325	nm0127158	nm0127158,nm0687851
tt0059900	nm0351586	nm0351586,nm0778360
tt0065188	nm0878702	nm0434141,nm0815785,nm0878702
tt0067460	nm0091430	nm0091430
tt0068494	nm0643443	nm0643443
tt0070501	nm0749914	nm0481040,nm0749914
tt0073481	nm0193508	nm0056217
tt0077432	nm0839288	nm1150921,nm0839288
tt0078006	nm0333937	nm0643093,nm0682421
tt0080039	nm0192870	nm0192870,nm0288708
tt0081008	nm0389846	\N
tt0081145	nm0193303	nm0169785,nm0849601
tt0081436	nm0525938	\N
tt0081721	nm0747808	nm0747808
tt0082473	nm0143426	nm0143426,nm0724255
tt0082891	nm0000382	nm0000382
tt0083837	\N	nm0523800
tt0084015	nm0160246,nm0767391	nm0160246,nm2384991
tt0084447	nm0000382	nm0000382
tt0084551	nm0152049	nm4184369,nm4894011,nm1852162
tt0084638	nm0577263	\N
tt0084870	nm0210701	nm0078760,nm0210701
tt0087306	nm0653458	\N
tt0088267	nm0948151	nm1292716
tt0088283	nm0353436	nm0030676,nm0331498
tt0088656	nm0632726,nm0407479	nm0014556,nm0840697,nm0847638
tt0088657	nm0632726,nm0407479	nm0014556,nm0840697,nm0847638
tt0089043	nm0095755	\N
tt0090000	nm1709207	\N
tt0090144	nm0265853	\N
tt0090665	nm0099276	nm0099276,nm0100525,nm0420017,nm0502507
tt0090780	nm0355703,nm0461298,nm5890366	nm4481722,nm0504327,nm0748429
tt0090785	nm0382956	nm0382956,nm0421256
tt0090869	nm0173065	nm0173065,nm2419918,nm1648673
tt0091490	nm0014411	\N
tt0091899	nm0136642	nm0524521
tt0092024	nm0002797	nm0002797
tt0092507	nm0698184	nm0845785
tt0092589	nm0434854	nm0434854
tt0092926	nm0927475	nm0573712
tt0092984	nm0654839	nm0654839
tt0093061	nm0338598	\N
tt0093081	nm0343276	\N
tt0093099	nm0520485	\N
tt0093210	nm0244471	nm0972819
tt0093211	nm0366594	nm0366594
tt0093309	nm0490487	nm5071994
tt0093508	nm0063181	\N
tt0093572	nm0812546	\N
tt0093646	nm0657722	nm0657722
tt0093989	nm0151653	nm0151653
tt0094004	nm0162717	nm0162717,nm0332417
tt0094376	nm0149216	nm0504945,nm0948137,nm3575227
tt0094390	nm0803393	\N
tt0094609	nm0894132,nm0834484	nm0765680,nm0894132
tt0094666	nm0165965	nm0747047,nm5165310
tt0094688	nm0453993	nm0453993
tt0094808	nm0034776	nm0399560
tt0094841	nm0274659	nm0079342,nm0274659,nm0547739
tt0094857	nm0436326	nm2189141
tt0094874	nm0161165	nm0161165,nm0504945,nm0514961,nm0906412
tt0094900	nm0505415	nm0165235,nm0489911,nm0556893
tt0094926	nm0868149	nm0029482,nm0868149
tt0094997	nm0002086	nm0716701,nm0002086,nm0855193
tt0095006	nm0560489	nm0396215,nm0750099
tt0095095	nm0580726	nm0201976,nm0580726
tt0095102	nm0461921	nm11294013,nm0409682
tt0095111	nm0246986	\N
tt0095147	nm0751133	\N
tt0095201	nm0479561	nm0698940
tt0095229	nm0414842,nm1589697	nm0414842
tt0095290	nm0523701	nm3996252
tt0095335	nm0266630	nm0266636
tt0095394	nm0482901	nm0482901,nm9071850
tt0095450	nm0948021,nm0007139	nm0155531,nm1967208,nm0504899,nm0948021
tt0095469	nm0525475	nm0525475
tt0095571	nm0340742	nm0340742
tt0095661	nm0266862	nm0076814,nm0266862,nm0799442
tt0095671	nm0840779	nm0840779,nm0874096
tt0095672	nm0305869	nm0044156,nm0305869
tt0095673	nm0379449	nm0379449,nm0874096
tt0095674	nm0002797	nm0034999,nm0002797
tt0095745	nm0035784	nm0035784,nm0035650
tt0095761	nm0675422	nm0106924,nm0207076,nm0675422
tt0095783	nm0064593	nm0443572
tt0095831	nm0803112	nm0119653
tt0095840	nm0709527	nm0709527
tt0095902	nm0514045	nm0514045
tt0096025	nm0225769	nm0225769,nm0888713
tt0096035	nm0093271	nm0093271,nm0456614
tt0096038	nm0655230	nm0031080
tt0096075	nm0227661	nm0395337
tt0096090	nm0525475	nm0525475
tt0096107	nm0001425	nm0001425
tt0096135	nm0322560	nm0533735
tt0096154	nm0002793	nm0396400,nm0002793
tt0096174	nm0470749	nm0470749,nm0667724
tt0096177	nm0132490	nm0132490,nm0661751,nm0845829
tt0096222	nm0160900	nm0159052
tt0096254	nm0851930	nm0851930
tt0096345	nm0766649	nm0766649
tt0096346	nm0936123	nm1572419,nm0936123
tt0096361	nm0386185,nm1684335	nm0366625,nm4054745,nm0386185,nm0469674,nm5934338
