tconst	averageRating	numVotes
tt0000929	5.3	46
tt0015414	5.2	16
tt0015724	6.1	26
tt0034841	6.3	282
tt0038086	7.0	27
tt0040844	3.3	189
tt0059325	6.4	254
tt0059900	6.4	38
tt0065188	6.4	37
tt0067460	6.8	26
tt0068494	4.9	20
tt0070501	7.0	230
tt0073481	8.0	43
tt0077432	5.4	13
tt0078006	7.0	33
tt0080039	2.7	367
tt0081145	5.4	286
tt0081721	6.2	326
tt0082473	6.7	120
tt0082891	5.5	250
tt0084015	7.3	44
tt0084447	6.2	204
tt0084551	5.5	25
tt0084638	6.9	420
tt0084870	7.1	397
tt0088267	5.5	117
tt0088283	6.0	38
tt0088656	6.9	164
tt0088657	7.0	180
tt0090144	8.1	233
tt0090665	6.7	1895
tt0090780	7.7	8
tt0090785	5.7	51
tt0091490	5.5	41
tt0091899	6.2	160
tt0092024	7.0	53
tt0092507	7.3	411
tt0092589	4.4	33
tt0092926	3.0	230
tt0092984	4.9	76
tt0093061	7.7	15
tt0093099	6.0	121
tt0093210	5.5	18
tt0093211	5.1	10
tt0093309	6.2	179
tt0093508	6.4	9
tt0093572	7.3	379
tt0093646	7.9	20
tt0093989	6.0	17
tt0094004	5.2	88
tt0094376	5.6	264
tt0094390	6.2	22
tt0094666	4.3	122
tt0094808	6.0	15
tt0094841	6.5	296
tt0094857	5.9	133
tt0094874	4.8	14
tt0094900	5.0	238
tt0094926	4.8	98
tt0094997	4.6	1886
tt0095006	4.4	40
tt0095095	5.0	83
tt0095111	7.8	1017
tt0095147	6.7	90
tt0095201	5.5	25
tt0095229	6.7	21
tt0095290	5.7	46
tt0095335	4.3	12
tt0095394	7.1	177
tt0095450	6.9	361
tt0095469	6.5	40
tt0095571	8.4	41
tt0095671	4.8	14
tt0095672	5.4	9
tt0095673	6.5	13
tt0095674	6.1	8
tt0095745	2.5	335
tt0095761	5.1	24
tt0095783	7.8	12
tt0095831	4.2	7
tt0095840	4.3	83
tt0095902	6.7	52
tt0096025	5.6	76
tt0096038	6.4	21
