nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm0000004	John Belushi	1949	1982	actor,soundtrack,writer	tt0077975,tt0078723,tt0080455,tt0072562	https://image.tmdb.org/t/p/{width_variable}/sgemxJjlaULrIQArfRb92mSd3rZ.jpg
nm0000005	Ingmar Bergman	1918	2007	writer,director,actor	tt0050986,tt0050976,tt0069467,tt0083922	https://image.tmdb.org/t/p/{width_variable}/nkmOaXNRoioViN9OQf2n9Iu6akA.jpg
nm0000008	Marlon Brando	1924	2004	actor,soundtrack,director	tt0070849,tt0047296,tt0068646,tt0078788	https://image.tmdb.org/t/p/{width_variable}/fuTEPMsBtV1zE98ujPONbKiYDc2.jpg
nm0000009	Richard Burton	1925	1984	actor,soundtrack,producer	tt0059749,tt0057877,tt0087803,tt0061184	https://image.tmdb.org/t/p/{width_variable}/aEofbdM6kVs77cdJAGeOyM434rY.jpg
nm0000010	James Cagney	1899	1986	actor,soundtrack,director	tt0035575,tt0031867,tt0029870,tt0042041	https://image.tmdb.org/t/p/{width_variable}/haDKecHGGb1qh8gAoR3ExiJlujn.jpg
nm0000018	Kirk Douglas	1916	2020	actor,producer,soundtrack	tt0050825,tt0054331,tt0049456,tt0080736	https://image.tmdb.org/t/p/{width_variable}/yvunzQgnILw6uNBFMyld5nhkBCX.jpg
nm0000019	Federico Fellini	1920	1993	writer,director,actor	tt0050783,tt0056801,tt0071129,tt0053779	https://image.tmdb.org/t/p/{width_variable}/jH2VnHAuI0UbTWsnrjMPro0fC9j.jpg
nm0000024	John Gielgud	1904	2000	actor,writer,director	tt0045943,tt0071877,tt0117631,tt0082031	https://image.tmdb.org/t/p/{width_variable}/rSyG2ypOnMVOuGtDJMYt5VV1bMr.jpg
nm0000027	Alec Guinness	1914	2000	actor,soundtrack,writer	tt0076759,tt0041546,tt0050212,tt0051739	https://image.tmdb.org/t/p/{width_variable}/gplGgl6XERpvYdluiwY8GlxSdpi.jpg
nm0000031	Katharine Hepburn	1907	2003	actress,soundtrack,writer	tt0032904,tt0043265,tt0063227,tt0082846	https://image.tmdb.org/t/p/{width_variable}/hzBSOe6bburyMeeCqD9kR9tRfdD.jpg
nm0000032	Charlton Heston	1923	2008	actor,director,soundtrack	tt0049833,tt0063442,tt0052618,tt0067525	https://image.tmdb.org/t/p/{width_variable}/2wiaCoobBNm8nLO5C9ht3lN8Lt3.jpg
nm0000033	Alfred Hitchcock	1899	1980	director,producer,writer	tt0052357,tt0034248,tt0054215,tt0053125	https://image.tmdb.org/t/p/{width_variable}/108fiNM6poRieMg7RIqLJRxdAwG.jpg
