tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	img_url_asset
tt1637688	movie	In Time	In Time	0	2011	\N	109	Action,Sci-Fi,Thriller	https://image.tmdb.org/t/p/{width_variable}/3Mwj2sIONQckOZP3YwsUXF7U5I4.jpg
tt15398776	movie	Oppenheimer	Oppenheimer	0	2023	\N	180	Biography,Drama,History	https://image.tmdb.org/t/p/{width_variable}/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg
tt0046593	tvSeries	The Magical World of Disney	Disneyland	0	1954	1997	120	Adventure,Drama,Family	https://image.tmdb.org/t/p/{width_variable}/qxzolPXbAigjPANgTOdXXDxqcbr.jpg
tt0086734	tvSeries	Hunter	Hunter	0	1984	1991	48	Action,Crime,Drama	https://image.tmdb.org/t/p/{width_variable}/kmC8d3KQozh1SlIih0hdfXsGLe8.jpg
tt0088655	tvMiniSeries	AD Police Files	AD Police Files	0	1990	1990	121	Animation,Crime,Sci-Fi	https://image.tmdb.org/t/p/{width_variable}/cnoxaByiINVuvb20bR5LmkHgzJX.jpg
tt0094456	tvSeries	Eurocops	Eurocops	0	1988	1994	52	Crime,Thriller	https://image.tmdb.org/t/p/{width_variable}/dPm7ybBVyc0Dl0Yyn4o3WQSNdCC.jpg
tt0094525	tvSeries	Poirot	Poirot	0	1989	2013	100	Crime,Drama,Mystery	https://image.tmdb.org/t/p/{width_variable}/6f4IVfbn8knb7RjdZlGLuW5guDc.jpg
tt0095670	tvSeries	La mujer de tu vida	La mujer de tu vida	0	1990	1994	60	Comedy,Romance	https://image.tmdb.org/t/p/{width_variable}/54a9EQ3zZJI1Q1ATxtPTRRMCCDo.jpg
tt0096538	tvSeries	B.L. Stryker	B.L. Stryker	0	1989	1990	120	Mystery	https://image.tmdb.org/t/p/{width_variable}/vvnhccWAJ86l7zOtErWXaXEUBT1.jpg
tt0096658	tvSeries	Navarro	Navarro	0	1989	2006	90	Crime,Drama	https://image.tmdb.org/t/p/{width_variable}/g8RNyYCCcFTciIZM4FVNPPnFqB0.jpg
tt0098761	tvSeries	Capital News	Capital News	0	1990	1990	60	Drama
tt0098765	tvSeries	The Case-Book of Sherlock Holmes	The Case-Book of Sherlock Holmes	0	1991	1993	60	Crime,Drama,Mystery
tt0098792	tvSeries	A Family for Joe	A Family for Joe	0	1990	1990	30	Comedy
tt0098798	tvSeries	The Flash	The Flash	0	1990	1991	48	Action,Crime,Fantasy	https://image.tmdb.org/t/p/{width_variable}/fi1GEdCbyWRDHpyJcB25YYK7fh4.jpg
