tconst	ordering	nconst	category	job	characters
tt1160419	10	nm0135847	producer	producer	\N
tt1160419	1	nm3154303	actor	\N	["Paul Atreides"]
tt1160419	2	nm0272581	actress	\N	["Lady Jessica Atreides"]
tt1160419	3	nm3918035	actress	\N	["Chani"]
tt1160419	4	nm1209966	actor	\N	["Duke Leto Atreides"]
tt1160419	5	nm0898288	director	\N	\N
tt1160419	6	nm3123612	writer	screenplay by	\N
tt1160419	7	nm0744839	writer	screenplay by	\N
tt1160419	8	nm0378541	writer	based on the novel Dune written by	\N
tt1160419	9	nm1212547	producer	producer	\N
