nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm0000876	Noah Baumbach	1969	\N	writer,director,producer	tt1517268,tt7653254,tt6160448,tt0367089	https://image.tmdb.org/t/p/{width_variable}/wRfV5qYIJHk4NH9gkKQnk99E5Qn.jpg
nm0107509	Robbie Brenner	\N	\N	producer,miscellaneous,production_manager	tt0758730,tt1702439,tt0790636,tt6513656
nm0331516	Ryan Gosling	1980	\N	actor,soundtrack,producer	tt0780504,tt3783958,tt1120985,tt0805564	https://image.tmdb.org/t/p/{width_variable}/lyUyVARQKhGxaxy0FbPJCQRpiaW.jpg
nm0382268	David Heyman	1961	\N	producer,actor,executive	tt7131622,tt7653254,tt1454468,tt0304141	https://image.tmdb.org/t/p/{width_variable}/m39R6xbVfHfCEO4H0s2Fhwh9mkt.jpg
nm0571952	Kate McKinnon	1984	\N	actress,soundtrack,writer	tt4799050,tt0072562,tt1289401,tt6394270	https://image.tmdb.org/t/p/{width_variable}/2cNetzianFcxPQbyOQnkAIkKUZE.jpg
nm1053148	Mark Ronson	1975	\N	music_artist,soundtrack,actor	tt1517451,tt5814534,tt1386697,tt1517268	https://image.tmdb.org/t/p/{width_variable}/2xmMlZ7LLlojzSMqNVzwqB5YEsd.jpg
nm1950086	Greta Gerwig	1983	\N	actress,writer,director	tt2347569,tt2872462,tt4925292,tt1517268	https://image.tmdb.org/t/p/{width_variable}/iOl1tjdLIGXeGGF73eAq6cE4Tmp.jpg
nm3053338	Margot Robbie	1990	\N	actress,producer,soundtrack	tt7713068,tt0993846,tt5580036,tt1386697	https://image.tmdb.org/t/p/{width_variable}/euDPyqLnuwaWMHajcU3oZ9uZezR.jpg
nm3943537	Tom Ackerley	\N	\N	producer,assistant_director,miscellaneous	tt1517268,tt17351924,tt5580036,tt9620292	https://image.tmdb.org/t/p/{width_variable}/1oMM60nZYnNrrg0BskREjt1FcRP.jpg
nm4793987	Issa Rae	1985	\N	producer,actress,writer	tt2123765,tt5024912,tt8085790	https://image.tmdb.org/t/p/{width_variable}/1tX1T5ZNCMh2KYP1jMgfg8P26vm.jpg
